# Table de correspondance TEXTE de ligne de devis -> MODÈLE Excel.
# - pattern   : texte recherché dans la ligne du devis (comparé après normalisation :
#               majuscules, accents retirés, ponctuation -> espaces). Le motif le PLUS LONG
#               qui correspond gagne (donc un sanitaire spécifique l'emporte sur un bungalow générique).
# - modele    : nom du fichier .xlsx dans templates/
# - categorie : bungalow | sanitaire | autre  (informatif)
# - est_bungalow : true pour un bungalow standard 15m2 ASSEMBLABLE ; false pour un sanitaire/spécial.
#
# ⚠️ STARTER déduit du devis EIFFAGE. À COMPLÉTER lundi avec les ~25 entrées officielles
#    (et les vrais noms de fichiers des modèles). N'inventez aucune correspondance ici.
pattern,modele,categorie,est_bungalow
PETIT SANITAIRE W1WC SOLO,sanitaire_1wc.xlsx,sanitaire,false
BUNGALOW 15m2 BATISO 2WC DONT 1 PMR,sanitaire_2wc_pmr.xlsx,sanitaire,false
BUNGALOW 15 M2 2WC 2D 2U,sanitaire_2wc_2d_2u.xlsx,sanitaire,false
CONTAINERS 6M,container_6m.xlsx,autre,false
BUNGALOW LAVABOS,bungalow_lavabos.xlsx,sanitaire,false
4 AUGES,bungalow_lavabos.xlsx,sanitaire,false
BUNGALOW 15M2,bungalow_15m2.xlsx,bungalow,true
BUNGALOW,bungalow_vide.xlsx,bungalow,true
BUNG,bungalow_vide.xlsx,bungalow,true
1 WC PMR,wc_1_pmr.xlsx,sanitaire,false
2WCH,wc_2.xlsx,sanitaire,false
3WC,wc_3.xlsx,sanitaire,false
4 URINOIRS,urinoirs_4.xlsx,sanitaire,false
7 URINOIRS,urinoirs_7.xlsx,sanitaire,false
LAVE MAINS,lave_mains.xlsx,sanitaire,false
ROULANTE VIP,roulante_vip_2wc.xlsx,sanitaire,false
2WC 2UR,sanitaire_2wc_2ur.xlsx,sanitaire,false
URINOIR FEMININ,urinoir_feminin.xlsx,sanitaire,false
WC AUTONOME,wc_autonome.xlsx,sanitaire,false
GRAND SANITAIRE MIXTE,sanitaire_grand_mixte.xlsx,sanitaire,false
PETIT SANITAIRE MIXTE,sanitaire_petit_mixte.xlsx,sanitaire,false
DOUCHES,douches.xlsx,sanitaire,false
GRAND SANITAIRE DOUCHE,douches.xlsx,sanitaire,false
1WC 1 DOUCHE 1 URINOIR,sanitaire_petit_mixte.xlsx,sanitaire,false
1WC 1D 1U,sanitaire_petit_mixte.xlsx,sanitaire,false
POLYSANI HANDI,polysani_handi.xlsx,sanitaire,false
POLYSANI,polysani_homme_femme.xlsx,sanitaire,false
GD SANI,polysani_homme_femme.xlsx,sanitaire,false
5 WC 3 URIN,polysani_homme_femme.xlsx,sanitaire,false
